Track,Person,Type,,
Grand Piano,Richard,Synth,,
Strings,Thomas,Kontakt,,
Glockenspiel,Thomas,Kontakt,,
Lead Vocal Hi,Richard,Vocal,,
Lead Vocal Low,Richard,Vocal,,
Whurr,Richard,Synth,,
Stuff, Richard,Synth,,
Bass,Chris,Bass,,
